customer_id,customer_name,segment
AB-100151402,Aaron Bergman,Consumer
JR-162107,Justin Ritter,Corporate
CR-127307,Craig Reiter,Consumer
KM-1637548,Katherine Murray,Home Office
RH-9495111,Rick Hansen,Consumer
JM-156557,Jim Mitchum,Corporate
TS-2134092,Toby Swindell,Consumer
MB-1808592,Mick Brown,Consumer
AB-100151404,Aaron Bergman,Consumer
AJ-107801,Anthony Jacobs,Corporate
MM-7260110,Magdelene Morse,Consumer
VF-2171518,Vicky Freymann,Home Office
PF-1912027,Peter Fuller,Consumer
BP-1118545,Ben Peterman,Corporate
PJ-1883564,Patrick Jones,Corporate
JS-156857,Jim Sink,Corporate
RH-9555129,Ritsa Hightower,Consumer
AB-600103,Ann Blume,Corporate
JK-1532527,Jason Klamczynski,Corporate
LB-16795139,Laurel Beltran,Home Office
NP-1832582,Naresj Patel,Consumer
VD-2167039,Valerie Dominguez,Consumer
PB-19210127,Phillip Breyer,Corporate
EB-1411048,Eugene Barchas,Consumer
AH-100301406,Aaron Hawkins,Corporate
BP-1123058,Benjamin Patterson,Consumer
RR-1952536,Rick Reed,Corporate
BS-1136545,Bill Shonely,Corporate
AH-100301404,Aaron Hawkins,Corporate
DP-131057,Dave Poirier,Corporate
AH-1003033,Aaron Hawkins,Corporate
PO-18865139,Patrick O'Donnell,Consumer
DL-128657,Dan Lawera,Consumer
JB-1600059,Joy Bell-,Consumer
BF-1100558,Barry Franz,Home Office
VG-2180558,Vivek Grady,Corporate
GT-14710139,Greg Tran,Consumer
ZC-2191048,Zuschuss Carroll,Consumer
AH-100301408,Aaron Hawkins,Corporate
EB-1384045,Ellis Ballard,Corporate
AP-1091527,Arthur Prichep,Consumer
SW-2027558,Scott Williamson,Consumer
JH-15820141,John Huston,Consumer
TG-1164060,Trudy Glocke,Consumer
DG-330087,Deirdre Greer,Corporate
SG-2047058,Sheri Gordon,Consumer
GP-1474058,Guy Phonely,Corporate
MW-182207,Mitch Webber,Consumer
CS-1246011,Chuck Sachs,Consumer
MS-1798048,Michael Stewart,Corporate
KC-1667548,Kimberly Carter,Corporate
DB-1340527,Denny Blanton,Consumer
AS-100451408,Aaron Smayling,Corporate
DK-13090120,Dave Kipp,Consumer
CS-1184558,Cari Sayre,Corporate
EM-1420082,Evan Minnotte,Home Office
DW-3480137,Dianna Wilson,Home Office
AS-1022527,Alan Schoenberger,Corporate
ST-2053093,Shui Tom,Consumer
BW-106533,Barry Weirich,Consumer
LA-1678059,Laura Armstrong,Corporate
AB-10150139,Aimee Bixby,Consumer
JH-158207,John Huston,Consumer
AS-100451402,Aaron Smayling,Corporate
BE-1141048,Bobby Elias,Consumer
SZ-2003527,Sam Zeldin,Home Office
RM-1937558,Raymond Messe,Consumer
HG-1484545,Harry Greene,Consumer
DP-310586,Dave Poirier,Corporate
AS-100451404,Aaron Smayling,Corporate
JB-1600048,Joy Bell-,Consumer
AM-1070559,Anne McFarland,Consumer
AB-25586,Alejandro Ballentine,Home Office
RP-192707,Rachel Payne,Corporate
BK-1126011,Berenike Kampe,Consumer
JM-1525027,Janet Martin,Consumer
NZ-1856545,Nick Zandusky,Home Office
SC-20695102,Steve Chapman,Corporate
NC-186257,Noah Childs,Corporate
NF-183858,Natalie Fritzler,Consumer
NZ-185657,Nick Zandusky,Home Office
PM-1894045,Paul MacIntyre,Consumer
MZ-1733545,Maria Zettner,Home Office
HM-498033,Henry MacAllister,Consumer
RW-195407,Rick Wilson,Corporate
LH-1715545,Logan Haushalter,Consumer
FH-1436582,Fred Hopkins,Corporate
KM-1666048,Khloe Miller,Consumer
PO-1886545,Patrick O'Donnell,Consumer
AS-100451406,Aaron Smayling,Corporate
AB-1006028,Adam Bellavance,Home Office
DB-130607,Dave Brooks,Consumer
VM-2168591,Valerie Mitchum,Home Office
DM-1352548,Don Miller,Corporate
NM-18520120,Neoma Murray,Consumer
LC-168857,Lena Creighton,Consumer
RO-1978027,Rose O'Brian,Consumer
EM-1406548,Erin Mull,Consumer
ON-1871545,Odella Nelson,Corporate
VS-2182027,Vivek Sundaresam,Consumer
CM-121157,Chad McGuire,Consumer
AB-100601404,Adam Bellavance,Home Office
AB-100601406,Adam Bellavance,Home Office
JK-153257,Jason Klamczynski,Corporate
